SpeciesAccepted,YearPublication,Authors,DOI_ISBN,OrganismType,StudyStart,StudyEnd,n_populations
Lepanthes caritensis,2018,Crain; Tremblay; Ferguson,10.1002/1438-390X.1002,Epiphyte,2010,2012,18
Epipactis atrorubens,2017,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,10.1016/j.biocon.2017.04.019,Herbaceous perennial,2000,2015,8
Lepanthes rubripetala,2010,Schödelbauerová; Tremblay; Kindlmann,10.1007/s10531-009-9724-1,Epiphyte,1994,2007,8
Lepanthes rupestris,2001,Tremblay; Ackerman,10.1006/bijl.2000.0485,Herbaceous perennial,1994,1996,7
Lepanthes rupestris,2014,Tremblay; McCarthy,10.1371/journal.pone.0102859,Herbaceous perennial,1993,1996,7
Orchis purpurea,2010,Jacquemyns; Brys; Jongejans,10.1890/08-2321.1,Herbaceous perennial,2002,2008,7
Lepanthes rubripetala,2001,Tremblay; Ackerman,10.1006/bijl.2000.0485,Epiphyte,1994,1996,6
Lepanthes rubripetala,2015,Tremblay; Raventós; Ackerman; ,10.1093/aob/mcv031,Epiphyte,1994,1996,6
Neotinea ustulata,2007,Shefferson; Tali,10.1111/j.1365-2745.2006.01195.x,Herbaceous perennial,1993,2005,6
Serapias cordigera,2014,Pellegrino; Bellusci,10.1111/boj.12204,Herbaceous perennial,1999,2012,6
Cephalanthera longifolia,2012,Shefferson; Kull; Tali; Kellett,10.1890/ES11-00328.1,Herbaceous perennial,2002,2007,4
Cleistesiopsis bifaria,1991,Wells; Willems,90-5103-068-1,Herbaceous perennial,1983,1990,4
Cypripedium calceolus,2005,Nicolè; Brzosko; Till-Bottraud,10.1111/j.1365-2745.2005.01010.x,Herbaceous perennial,1991,2000,4
Cypripedium fasciculatum,2011,Thorpe; Stanley; Kayne; Latham,NA,Herbaceous perennial,1999,2007,4
Oeceoclades maculata,2019,Riverón-Giró; Raventós; Damon; García-González; Mújica,10.1007/s10530-019-01945-7,Herbaceous perennial,2014,2016,4
